Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 17.15      0.41     0.41                             gfxdev_write
 15.90      0.79     0.38  3010767     0.00     0.00  gfxdev_opcode
 11.30      1.06     0.27  1753168     0.00     0.00  GfxFont_DrawChar
  7.11      1.23     0.17       29     5.86     5.86  Img_LoadTGA
  6.28      1.38     0.15      232     0.65     0.65  Tex_HalfSample
  4.18      1.48     0.10  2232832     0.00     0.00  Obj3D_Point
  3.97      1.57     0.10   725458     0.00     0.00  Obj3D_ObjCollideBoxP
  3.35      1.66     0.08  2157739     0.00     0.00  vecz
  3.14      1.73     0.07  3010767     0.00     0.00  GfxApi_WriteOpcode
  2.51      1.79     0.06  2819200     0.00     0.00  ELEM_OBJTYPEPi
  2.30      1.84     0.06  3272105     0.00     0.00  ObjSK_GetSlot
  1.67      1.89     0.04    75375     0.00     0.00  Obj3D_SpriteOpts
  1.26      1.92     0.03  2232832     0.00     0.00  Obj3D_MapST
  1.26      1.95     0.03  1007894     0.00     0.00  GfxApi_WriteFloat
  1.26      1.98     0.03    75264     0.00     0.00  Sky_MakeSkyVec
  1.26      2.00     0.03    37642     0.00     0.00  Prim_Opts
  1.26      2.04     0.03     3136     0.01     0.10  Prim_RenderSphere
  0.84      2.06     0.02  1753168     0.00     0.00  GfxFont_FetchFrag
  0.84      2.08     0.02   145548     0.00     0.00  GfxApi_WriteSLong
  0.84      2.10     0.02    55001     0.00     0.00  Obj3D_CheckBlocked
  0.84      2.12     0.02    54124     0.00     0.00  GfxApi_WriteString
  0.84      2.13     0.02    28160     0.00     0.00  Obj3D_RenderSprite
  0.84      2.15     0.02     9994     0.00     0.06  Obj3D_RenderObj
  0.84      2.17     0.02                             Obj3D_ApplySpr
  0.63      2.19     0.01   605184     0.00     0.00  GfxApi_BindTex
  0.42      2.20     0.01  1823116     0.00     0.00  GfxApi_WriteSInt
  0.42      2.21     0.01  1823058     0.00     0.00  GfxApi_WriteSByte
  0.42      2.22     0.01   586368     0.00     0.00  Obj3D_BindTexture
  0.42      2.23     0.01   586368     0.00     0.00  Obj3D_SelectTexture
  0.42      2.24     0.01   567552     0.00     0.00  Obj3D_SelectTextureR
  0.42      2.25     0.01    43840     0.00     0.00  Obj3D_PushTexture
  0.42      2.26     0.01    21952     0.00     0.00  GfxApi_TransformMatrixd
  0.42      2.27     0.01    18816     0.00     0.02  Prim_RenderPrimative
  0.42      2.28     0.01     9408     0.00     0.01  Prim_RenderCube
  0.42      2.29     0.01     3887     0.00     0.21  Render_Frame
  0.42      2.30     0.01     3722     0.00     0.01  Sky_DrawSkyBox
  0.42      2.31     0.01                             TyFcn_VectorIs
  0.42      2.32     0.01                             TyObj_GetSlot
  0.42      2.33     0.01                             glColor4f@16
  0.42      2.34     0.01                             glVertex2f@8
  0.21      2.35     0.01   605184     0.00     0.00  GfxApi_UnbindTex
  0.21      2.35     0.01   112640     0.00     0.00  GfxApi_TexCoord2
  0.21      2.35     0.01   112640     0.00     0.00  GfxApi_Vec3
  0.21      2.36     0.01    78370     0.00     0.00  ObjSK_SetSlot
  0.21      2.37     0.01     7444     0.00     0.00  GfxApi_Rotate3
  0.21      2.37     0.01     3722     0.00     0.00  GfxApi_Perspective
  0.21      2.38     0.01       30     0.17     0.17  GfxApi_ReadSLong
  0.21      2.38     0.01       29     0.17     6.20  Obj3D_LoadImage
  0.21      2.38     0.01       23     0.22     6.42  Obj3D_Tex_Opts
  0.21      2.39     0.01                             Obj3D_BoxCollideP
  0.00      2.39     0.00   605184     0.00     0.00  GfxApi_Begin
  0.00      2.39     0.00   605184     0.00     0.00  GfxApi_End
  0.00      2.39     0.00   112640     0.00     0.00  GfxApi_Point
  0.00      2.39     0.00    89847     0.00     0.00  ObjSK_Send
  0.00      2.39     0.00    72098     0.00     0.00  Obj3D_WrapVec
  0.00      2.39     0.00    52120     0.00     0.00  GfxApi_MoveTo
  0.00      2.39     0.00    52120     0.00     0.00  GfxApi_Show
  0.00      2.39     0.00    43840     0.00     0.00  Obj3D_DoMove
  0.00      2.39     0.00    43840     0.00     0.00  Obj3D_PopTexture
  0.00      2.39     0.00    41835     0.00     0.00  Render_PollKey
  0.00      2.39     0.00    40704     0.00     0.00  Obj3D_MoveInner
  0.00      2.39     0.00    28236     0.00     0.00  ELEM_OBJTYPEPi
  0.00      2.39     0.00    27350     0.00     0.00  GfxApi_PopMatrix
